epoch,symbol,price,spread,direction,vol_proxy
1785306164.0,R_100,840.8,0.0,0,0.0
1785306165.0,R_100,840.81,0.0049999999999954525,1,1.0
1785306166.0,R_100,840.89,0.040000000000020464,1,1.0
1785306167.0,R_100,840.86,0.014999999999986358,-1,1.0
1785306168.0,R_100,840.9,0.01999999999998181,1,1.0
1785306169.0,R_100,840.82,0.03999999999996362,-1,1.0
1785306170.0,R_100,840.99,0.08499999999997954,1,1.0
1785306171.0,R_100,841.05,0.029999999999972715,1,1.0
1785306172.0,R_100,840.92,0.06499999999999773,-1,1.0
1785306173.0,R_100,840.79,0.06499999999999773,-1,1.0
1785306174.0,R_100,840.92,0.06499999999999773,1,1.0
1785306175.0,R_100,841.03,0.05500000000000682,1,1.0
1785306176.0,R_100,841.19,0.08000000000004093,1,1.0
1785306177.0,R_100,841.22,0.014999999999986358,1,1.0
1785306178.0,R_100,841.18,0.020000000000038654,-1,1.0
1785306179.0,R_100,841.22,0.020000000000038654,1,1.0
1785306180.0,R_100,841.45,0.1150000000000091,1,1.0
1785306181.0,R_100,841.57,0.060000000000002274,1,1.0
1785306182.0,R_100,841.65,0.03999999999996362,1,1.0
1785306183.0,R_100,841.84,0.09500000000002728,1,1.0
1785306184.0,R_100,841.66,0.09000000000003183,-1,1.0
1785306185.0,R_100,841.45,0.10499999999996135,-1,1.0
1785306186.0,R_100,841.58,0.06499999999999773,1,1.0
1785306187.0,R_100,841.58,0.0,0,1.0
1785306188.0,R_100,841.71,0.06499999999999773,1,1.0
1785306189.0,R_100,841.68,0.015000000000043201,-1,1.0
1785306190.0,R_100,841.56,0.060000000000002274,-1,1.0
1785306191.0,R_100,841.81,0.125,1,1.0
1785306192.0,R_100,841.96,0.07500000000004547,1,1.0
1785306193.0,R_100,841.78,0.09000000000003183,-1,1.0
1785306194.0,R_100,841.74,0.01999999999998181,-1,1.0
1785306195.0,R_100,841.66,0.040000000000020464,-1,1.0
1785306196.0,R_100,841.56,0.05000000000001137,-1,1.0
1785306197.0,R_100,841.67,0.05500000000000682,1,1.0
1785306198.0,R_100,841.48,0.09499999999997044,-1,1.0
1785306199.0,R_100,841.36,0.060000000000002274,-1,1.0
1785306200.0,R_100,841.63,0.1349999999999909,1,1.0
1785306201.0,R_100,841.9,0.1349999999999909,1,1.0
1785306202.0,R_100,842.02,0.060000000000002274,1,1.0
1785306203.0,R_100,842.03,0.0049999999999954525,1,1.0
1785306204.0,R_100,841.96,0.03499999999996817,-1,1.0
1785306205.0,R_100,841.68,0.1400000000000432,-1,1.0
1785306206.0,R_100,841.57,0.05499999999994998,-1,1.0
1785306207.0,R_100,841.41,0.08000000000004093,-1,1.0
1785306208.0,R_100,841.33,0.03999999999996362,-1,1.0
1785306209.0,R_100,841.15,0.09000000000003183,-1,1.0
1785306210.0,R_100,841.16,0.0049999999999954525,1,1.0
1785306211.0,R_100,840.95,0.10499999999996135,-1,1.0
1785306212.0,R_100,841.14,0.09499999999997044,1,1.0
1785306213.0,R_100,841.2,0.03000000000002956,1,1.0
1785306214.0,R_100,841.19,0.0049999999999954525,-1,1.0
1785306215.0,R_100,841.2,0.0049999999999954525,1,1.0
1785306216.0,R_100,841.13,0.03500000000002501,-1,1.0
1785306217.0,R_100,840.9,0.1150000000000091,-1,1.0
1785306218.0,R_100,840.87,0.014999999999986358,-1,1.0
1785306219.0,R_100,841.04,0.08499999999997954,1,1.0
1785306220.0,R_100,840.89,0.07499999999998863,-1,1.0
1785306221.0,R_100,840.66,0.1150000000000091,-1,1.0
1785306222.0,R_100,840.89,0.1150000000000091,1,1.0
1785306223.0,R_100,840.86,0.014999999999986358,-1,1.0
1785306224.0,R_100,840.68,0.09000000000003183,-1,1.0
1785306225.0,R_100,840.83,0.07500000000004547,1,1.0
1785306226.0,R_100,840.94,0.05500000000000682,1,1.0
1785306227.0,R_100,840.86,0.040000000000020464,-1,1.0
1785306228.0,R_100,840.76,0.05000000000001137,-1,1.0
1785306229.0,R_100,840.81,0.024999999999977263,1,1.0
1785306230.0,R_100,840.91,0.05000000000001137,1,1.0
1785306231.0,R_100,841.02,0.05500000000000682,1,1.0
1785306232.0,R_100,841.24,0.11000000000001364,1,1.0
1785306233.0,R_100,841.28,0.01999999999998181,1,1.0
1785306234.0,R_100,841.49,0.10500000000001819,1,1.0
1785306235.0,R_100,841.2,0.1449999999999818,-1,1.0
1785306236.0,R_100,840.94,0.12999999999999545,-1,1.0
1785306237.0,R_100,840.79,0.07500000000004547,-1,1.0
1785306238.0,R_100,840.76,0.014999999999986358,-1,1.0
1785306239.0,R_100,840.59,0.08499999999997954,-1,1.0
1785306240.0,R_100,840.43,0.08000000000004093,-1,1.0
1785306241.0,R_100,840.29,0.06999999999999318,-1,1.0
1785306242.0,R_100,840.16,0.06499999999999773,-1,1.0
1785306243.0,R_100,840.27,0.05500000000000682,1,1.0
1785306244.0,R_100,840.18,0.045000000000015916,-1,1.0
